time_ams,time,epex_price,tennet_short,tennet_long
2021-01-03 03:30:00+01:00,2021-01-03 03:30:00,45.3,11.89,11.89
2021-01-03 03:45:00+01:00,2021-01-03 03:45:00,45.3,3.4,3.4
2021-01-03 04:00:00+01:00,2021-01-03 04:00:00,43.0,37.47,37.47
2021-01-03 04:15:00+01:00,2021-01-03 04:15:00,43.0,47.17,47.17
2021-01-03 04:30:00+01:00,2021-01-03 04:30:00,43.0,29.97,29.97
2021-01-03 04:45:00+01:00,2021-01-03 04:45:00,43.0,31.25,31.25
2021-01-03 05:00:00+01:00,2021-01-03 05:00:00,43.0,34.25,34.25
2021-01-03 05:15:00+01:00,2021-01-03 05:15:00,43.0,43.42,43.42
2021-01-03 05:30:00+01:00,2021-01-03 05:30:00,43.0,22.47,22.47
2021-01-03 05:45:00+01:00,2021-01-03 05:45:00,43.0,29.97,29.97
2021-01-03 06:00:00+01:00,2021-01-03 06:00:00,42.0,37.25,37.25
2021-01-03 06:15:00+01:00,2021-01-03 06:15:00,42.0,44.37,44.37
2021-01-03 06:30:00+01:00,2021-01-03 06:30:00,42.0,44.38,44.38
2021-01-03 06:45:00+01:00,2021-01-03 06:45:00,42.0,36.2,36.2
2021-01-03 07:00:00+01:00,2021-01-03 07:00:00,45.3,25.13,25.13
2021-01-03 07:15:00+01:00,2021-01-03 07:15:00,45.3,18.79,18.79
2021-01-03 07:30:00+01:00,2021-01-03 07:30:00,45.3,18.79,18.79
2021-01-03 07:45:00+01:00,2021-01-03 07:45:00,45.3,26.53,26.53
2021-01-03 08:00:00+01:00,2021-01-03 08:00:00,43.32,-10.58,-10.58
2021-01-03 08:15:00+01:00,2021-01-03 08:15:00,43.32,-23.47,-23.47
2021-01-03 08:30:00+01:00,2021-01-03 08:30:00,43.32,11.72,11.72
2021-01-03 08:45:00+01:00,2021-01-03 08:45:00,43.32,34.25,34.25
2021-01-03 09:00:00+01:00,2021-01-03 09:00:00,60.9,22.27,22.27
2021-01-03 09:15:00+01:00,2021-01-03 09:15:00,60.9,59.38,19.25
2021-01-03 09:30:00+01:00,2021-01-03 09:30:00,60.9,198.23,198.23
2021-01-03 09:45:00+01:00,2021-01-03 09:45:00,60.9,66.13,66.13
2021-01-03 10:00:00+01:00,2021-01-03 10:00:00,72.23,52.1,52.1
2021-01-03 10:15:00+01:00,2021-01-03 10:15:00,72.23,49.1,49.1
2021-01-03 10:30:00+01:00,2021-01-03 10:30:00,72.23,55.85,55.85
2021-01-03 10:45:00+01:00,2021-01-03 10:45:00,72.23,405.22,405.22
2021-01-03 11:00:00+01:00,2021-01-03 11:00:00,62.16,31.25,31.25
2021-01-03 11:15:00+01:00,2021-01-03 11:15:00,62.16,44.48,29.77
2021-01-03 11:30:00+01:00,2021-01-03 11:30:00,62.16,45.98,45.98
2021-01-03 11:45:00+01:00,2021-01-03 11:45:00,62.16,66.24,66.24
2021-01-03 12:00:00+01:00,2021-01-03 12:00:00,60.9,397.92,397.92
2021-01-03 12:15:00+01:00,2021-01-03 12:15:00,60.9,60.88,60.88
2021-01-03 12:30:00+01:00,2021-01-03 12:30:00,60.9,60.88,60.88
2021-01-03 12:45:00+01:00,2021-01-03 12:45:00,60.9,59.49,59.49
2021-01-03 13:00:00+01:00,2021-01-03 13:00:00,59.0,125.3,125.3
2021-01-03 13:15:00+01:00,2021-01-03 13:15:00,59.0,10.94,10.94
2021-01-03 13:30:00+01:00,2021-01-03 13:30:00,59.0,10.94,10.94
2021-01-03 13:45:00+01:00,2021-01-03 13:45:00,59.0,0.0,0.0
2021-01-03 14:00:00+01:00,2021-01-03 14:00:00,52.65,19.25,19.25
2021-01-03 14:15:00+01:00,2021-01-03 14:15:00,52.65,-12.35,-12.35
2021-01-03 14:30:00+01:00,2021-01-03 14:30:00,52.65,10.94,10.94
2021-01-03 14:45:00+01:00,2021-01-03 14:45:00,52.65,12.0,12.0
2021-01-03 15:00:00+01:00,2021-01-03 15:00:00,44.67,31.25,31.25
2021-01-03 15:15:00+01:00,2021-01-03 15:15:00,44.67,-22.32,-22.32
2021-01-03 15:30:00+01:00,2021-01-03 15:30:00,44.67,26.25,26.25
2021-01-03 15:45:00+01:00,2021-01-03 15:45:00,44.67,6.42,6.42
2021-01-03 16:00:00+01:00,2021-01-03 16:00:00,57.67,13.54,13.54
2021-01-03 16:15:00+01:00,2021-01-03 16:15:00,57.67,35.78,35.78
2021-01-03 16:30:00+01:00,2021-01-03 16:30:00,57.67,46.89,46.89
2021-01-03 16:45:00+01:00,2021-01-03 16:45:00,57.67,59.16,59.16
2021-01-03 17:00:00+01:00,2021-01-03 17:00:00,70.0,60.98,60.98
2021-01-03 17:15:00+01:00,2021-01-03 17:15:00,70.0,55.65,55.65
2021-01-03 17:30:00+01:00,2021-01-03 17:30:00,70.0,54.94,54.94
2021-01-03 17:45:00+01:00,2021-01-03 17:45:00,70.0,49.51,49.51
2021-01-03 18:00:00+01:00,2021-01-03 18:00:00,59.9,12.27,12.27
2021-01-03 18:15:00+01:00,2021-01-03 18:15:00,59.9,5.0,5.0
2021-01-03 18:30:00+01:00,2021-01-03 18:30:00,59.9,4.34,4.34
2021-01-03 18:45:00+01:00,2021-01-03 18:45:00,59.9,-25.08,-25.08
2021-01-03 19:00:00+01:00,2021-01-03 19:00:00,44.3,10.11,10.11
2021-01-03 19:15:00+01:00,2021-01-03 19:15:00,44.3,11.8,11.8
2021-01-03 19:30:00+01:00,2021-01-03 19:30:00,44.3,23.58,23.58
2021-01-03 19:45:00+01:00,2021-01-03 19:45:00,44.3,15.0,15.0
2021-01-03 20:00:00+01:00,2021-01-03 20:00:00,42.0,44.11,8.0
2021-01-03 20:15:00+01:00,2021-01-03 20:15:00,42.0,48.86,34.96
2021-01-03 20:30:00+01:00,2021-01-03 20:30:00,42.0,6.06,6.06
2021-01-03 20:45:00+01:00,2021-01-03 20:45:00,42.0,15.0,15.0
2021-01-03 21:00:00+01:00,2021-01-03 21:00:00,41.23,45.14,45.14
2021-01-03 21:15:00+01:00,2021-01-03 21:15:00,41.23,47.8,47.8
2021-01-03 21:30:00+01:00,2021-01-03 21:30:00,41.23,-2.35,-2.35
2021-01-03 21:45:00+01:00,2021-01-03 21:45:00,41.23,21.08,21.08
2021-01-03 22:00:00+01:00,2021-01-03 22:00:00,42.9,116.93,37.25
2021-01-03 22:15:00+01:00,2021-01-03 22:15:00,42.9,21.68,21.68
2021-01-03 22:30:00+01:00,2021-01-03 22:30:00,42.9,-22.1,-22.1
2021-01-03 22:45:00+01:00,2021-01-03 22:45:00,42.9,-100.29,-100.29
2021-01-03 23:00:00+01:00,2021-01-03 23:00:00,33.5,-136.5,-136.5
2021-01-03 23:15:00+01:00,2021-01-03 23:15:00,33.5,-31.5,-31.5
2021-01-03 23:30:00+01:00,2021-01-03 23:30:00,33.5,-32.86,-32.86
2021-01-03 23:45:00+01:00,2021-01-03 23:45:00,33.5,-65.48,-65.48
2021-01-04 00:00:00+01:00,2021-01-04 00:00:00,41.96,45.12,45.12
2021-01-04 00:15:00+01:00,2021-01-04 00:15:00,41.96,34.08,34.08
2021-01-04 00:30:00+01:00,2021-01-04 00:30:00,41.96,55.36,55.36
2021-01-04 00:45:00+01:00,2021-01-04 00:45:00,41.96,47.46,36.64
2021-01-04 01:00:00+01:00,2021-01-04 01:00:00,39.0,25.07,25.07
2021-01-04 01:15:00+01:00,2021-01-04 01:15:00,39.0,20.54,20.54
2021-01-04 01:30:00+01:00,2021-01-04 01:30:00,39.0,28.55,28.55
2021-01-04 01:45:00+01:00,2021-01-04 01:45:00,39.0,-27.06,-27.06
2021-01-04 02:00:00+01:00,2021-01-04 02:00:00,37.14,18.52,18.52
2021-01-04 02:15:00+01:00,2021-01-04 02:15:00,37.14,24.74,24.74
2021-01-04 02:30:00+01:00,2021-01-04 02:30:00,37.14,28.27,28.27
2021-01-04 02:45:00+01:00,2021-01-04 02:45:00,37.14,20.17,20.17
2021-01-04 03:00:00+01:00,2021-01-04 03:00:00,35.79,13.27,13.27
2021-01-04 03:15:00+01:00,2021-01-04 03:15:00,35.79,23.74,23.74
2021-01-04 03:30:00+01:00,2021-01-04 03:30:00,35.79,23.01,23.01
2021-01-04 03:45:00+01:00,2021-01-04 03:45:00,35.79,-36.69,-36.69
2021-01-04 04:00:00+01:00,2021-01-04 04:00:00,36.63,-27.91,-27.91
2021-01-04 04:15:00+01:00,2021-01-04 04:15:00,36.63,-49.13,-49.13
2021-01-04 04:30:00+01:00,2021-01-04 04:30:00,36.63,-30.56,-30.56
2021-01-04 04:45:00+01:00,2021-01-04 04:45:00,36.63,-61.85,-61.85
2021-01-04 05:00:00+01:00,2021-01-04 05:00:00,41.83,-31.57,-31.57
2021-01-04 05:15:00+01:00,2021-01-04 05:15:00,41.83,8.55,8.55
2021-01-04 05:30:00+01:00,2021-01-04 05:30:00,41.83,6.77,6.77
2021-01-04 05:45:00+01:00,2021-01-04 05:45:00,41.83,-114.1,-114.1
2021-01-04 06:00:00+01:00,2021-01-04 06:00:00,38.74,-31.27,-31.27
2021-01-04 06:15:00+01:00,2021-01-04 06:15:00,38.74,-118.25,-118.25
2021-01-04 06:30:00+01:00,2021-01-04 06:30:00,38.74,7.8,7.8
2021-01-04 06:45:00+01:00,2021-01-04 06:45:00,38.74,5.96,5.96
2021-01-04 07:00:00+01:00,2021-01-04 07:00:00,41.61,83.43,83.43
2021-01-04 07:15:00+01:00,2021-01-04 07:15:00,41.61,34.45,34.45
2021-01-04 07:30:00+01:00,2021-01-04 07:30:00,41.61,37.45,37.45
2021-01-04 07:45:00+01:00,2021-01-04 07:45:00,41.61,57.81,40.66
2021-01-04 08:00:00+01:00,2021-01-04 08:00:00,60.0,48.77,40.24
2021-01-04 08:15:00+01:00,2021-01-04 08:15:00,60.0,96.51,96.51
2021-01-04 08:30:00+01:00,2021-01-04 08:30:00,60.0,145.4,145.4
2021-01-04 08:45:00+01:00,2021-01-04 08:45:00,60.0,40.24,40.24
